,amount,avgCost,categoryName,importPrice,serialNum
0,12,53.0,乳制品,636.0,6907992513157
1,6,70.0,乳制品,420.0,6907992518930
2,8,54.0,乳制品,432.0,6907992518992
3,8,11.5,乳制品,92.0,6924810821027
4,12,28.7,乳制品,344.4,6924810822222
5,18,7.0,乳制品,126.0,6924810824608
6,18,10.7,乳制品,192.6,6924810810007
7,12,31.0,乳制品,372.0,6924810810014
8,8,19.0,乳制品,152.0,6924810812216
9,8,19.0,乳制品,152.0,6924810812223
11,59,37.0,大米,2183.0,6944910355765
