,importAmount,importPrice,postSaleAmount,postSalePrice,preSaleAmount,preSaleCost,preSalePrice,saleAmount,salePrice,serialNum
100,0.0,0.0,5.0,157.5,7.0,31.5,220.5,2.0,63.0,6974919370476
101,0.0,0.0,7.0,21.0,11.0,3.0,33.0,4.0,12.0,6974919371343
102,0.0,0.0,18.0,630.0,18.0,35.0,630.0,0.0,0.0,6928312900181
103,0.0,0.0,38.0,209.0,40.0,5.5,220.0,2.0,11.0,6974919371374
104,0.0,0.0,38.0,224.2,38.0,5.9,224.2,0.0,0.0,6907592001948
105,5.0,45.0,0.0,0.0,7.0,9.0,63.0,12.0,108.0,6907592002013
106,0.0,0.0,23.0,92.0,25.0,4.0,100.0,2.0,8.0,6974919370087
107,0.0,0.0,214.0,3852.0,219.0,18.0,3942.0,5.0,90.0,6928710660496
108,0.0,0.0,635.0,33020.0,636.0,52.0,33072.0,1.0,52.0,6928710601925
109,0.0,0.0,4.0,260.0,7.0,65.0,455.0,3.0,195.0,6928710601772
110,0.0,0.0,264.0,10032.0,265.0,38.0,10070.0,1.0,38.0,6928710660076
111,0.0,0.0,5.0,165.0,9.0,33.0,297.0,4.0,132.0,6928710660144
121,0.0,0.0,297.0,9801.0,297.0,33.0,9801.0,0.0,0.0,6928710660083
122,0.0,0.0,4.0,60.0,6.0,15.0,90.0,2.0,30.0,6928710602052
123,0.0,0.0,12.0,744.0,14.0,62.0,868.0,2.0,124.0,6928710660090
124,0.0,0.0,274.0,15892.0,276.0,58.0,16008.0,2.0,116.0,6928710660106
125,0.0,0.0,307.0,6447.0,308.0,21.0,6468.0,1.0,21.0,6928710660113
126,0.0,0.0,31.0,279.0,32.0,9.0,288.0,1.0,9.0,6928710660175
127,0.0,0.0,71.0,639.0,72.0,9.0,648.0,1.0,9.0,6928710660182
128,0.0,0.0,450.0,4050.0,450.0,9.0,4050.0,0.0,0.0,6928710601017
129,0.0,0.0,15.0,975.0,17.0,65.0,1105.0,2.0,130.0,6928710601765
130,0.0,0.0,17.0,238.0,18.0,14.0,252.0,1.0,14.0,6942806982972
131,0.0,0.0,22.0,231.0,23.0,10.5,241.5,1.0,10.5,6942806983047
132,0.0,0.0,7.0,90.3,7.0,12.9,90.3,0.0,0.0,6942806982989
133,0.0,0.0,36.0,1044.0,36.0,29.0,1044.0,0.0,0.0,6928710609075
134,0.0,0.0,21.0,777.0,23.0,37.0,851.0,2.0,74.0,6928710609082
135,0.0,0.0,5.0,67.5,5.0,13.5,67.5,0.0,0.0,6902131110020
136,0.0,0.0,20.0,140.0,24.0,7.0,168.0,4.0,28.0,6928710609174
137,0.0,0.0,91.0,4368.0,93.0,48.0,4464.0,2.0,96.0,6928710609204
138,0.0,0.0,4.0,32.0,5.0,8.0,40.0,1.0,8.0,6902265107057
139,0.0,0.0,74.0,2220.0,75.0,30.0,2250.0,1.0,30.0,6928710609211
140,0.0,0.0,155.0,2170.0,159.0,14.0,2226.0,4.0,56.0,6928710609228
141,0.0,0.0,128.0,1216.0,130.0,9.5,1235.0,2.0,19.0,6928710609235
142,0.0,0.0,217.0,2278.5,218.0,10.5,2289.0,1.0,10.5,6928710609518
143,0.0,0.0,46.0,483.0,46.0,10.5,483.0,0.0,0.0,6928710609525
144,0.0,0.0,123.0,5289.0,124.0,43.0,5332.0,1.0,43.0,6928710609532
145,0.0,0.0,6.0,58.8,7.0,9.8,68.6,1.0,9.8,6902265114369
146,1.0,7.0,0.0,0.0,2.0,7.0,14.0,3.0,21.0,6907592000026
147,0.0,0.0,7.0,49.0,8.0,7.0,56.0,1.0,7.0,6907592000033
148,0.0,0.0,9.0,49.5,17.0,5.5,93.5,8.0,44.0,6902265115496
149,0.0,0.0,42.0,294.0,45.0,7.0,315.0,3.0,21.0,6907592000040
150,0.0,0.0,7.0,56.0,13.0,8.0,104.0,6.0,48.0,6902265114888
160,0.0,0.0,42.0,357.0,43.0,8.5,365.5,1.0,8.5,6902265111719
161,0.0,0.0,5.0,42.5,10.0,8.5,85.0,5.0,42.5,6902265114345
162,0.0,0.0,1.0,8.3,3.0,8.3,24.9,2.0,16.6,6902265114321
