,refundAmount,refundPrice,saleAmount,salePrice,serialNum
180,0,0.00,26.00,221.00,6971550820001
181,0,0.00,4.00,131.20,6971550820094
182,0,0.00,8.00,262.40,6971550820087
183,0,0.00,4.00,39.60,6971550820810
184,0,0.00,4.00,47.20,6971550820155
185,0,0.00,11.00,162.80,6971550820643
194,0,0.00,10.00,148.00,6971550820650
195,0,0.00,8.00,86.40,6971550820148
196,0,0.00,3.00,96.00,6970373120695
197,0,0.00,2.00,36.00,6970373125041
198,0,0.00,1.00,26.00,6970373127564
199,0,0.00,54.00,243.00,6974800840286
200,0,0.00,120.00,540.00,6974800840330
201,0,0.00,3.00,55.50,6973669043081
202,0,0.00,2.00,35.00,6973669041100
203,0,0.00,3.00,52.50,6924750000995
204,0,0.00,2.00,27.60,6371251248
205,0,0.00,9.00,115.20,6371251242
206,0,0.00,7.00,224.00,6371251252
207,0,0.00,5.00,120.00,6371251245
208,0,0.00,6.00,124.80,6971885311816
209,0,0.00,4.00,83.20,6971885311830
210,0,0.00,7.00,145.60,6971885311892
211,0,0.00,2.00,74.00,6914973206106
212,0,0.00,1.00,36.50,6914973604278
213,0,0.00,6.00,219.00,6914973604230
214,0,0.00,1.00,46.00,6914973300828
215,0,0.00,2.00,33.80,6931802400078
216,0,0.00,15.00,418.50,6931802400085
217,0,0.00,8.00,135.20,6931802400047
218,0,0.00,1.00,15.60,4260290260010
219,0,0.00,5.00,300.00,4260290260041
220,0,0.00,2.00,142.00,4260290262274
221,0,0.00,2.00,120.00,4260290263042
222,0,0.00,1.00,69.00,4260290264636
223,0,0.00,2.00,158.00,4260290265206
232,0,0.00,3.00,258.00,9300639602967
233,0,0.00,6.00,516.00,9300639999005
234,0,0.00,12.00,141.60,6948942512691
235,0,0.00,1.00,55.00,6974613130345
236,0,0.00,11.00,352.00,6371251272
237,0,0.00,120.00,780.00,6970399922365
238,0,0.00,81.00,526.50,6970399922518
239,0,0.00,1.00,6.50,6970399922341
240,0,0.00,14.00,67.20,6921168558025
241,0,0.00,147.00,705.60,6921168558018
242,0,0.00,277.00,1329.60,6921168558049
243,0,0.00,106.00,530.00,6921168596348
244,0,0.00,73.00,350.40,6921168558032
245,0,0.00,1.00,45.00,8809069306489
246,0,0.00,6.00,96.00,4897044644392
247,0,0.00,1.00,16.00,4897044644613
248,0,0.00,6.00,117.00,4897044644293
249,0,0.00,3.00,58.50,4897044644705
250,0,0.00,4.00,35.20,3179730010591
251,0,0.00,4.00,35.20,3179730010560
252,0,0.00,1.00,8.50,6947929617176
253,0,0.00,1.00,8.50,6947929617183
254,0,0.00,14.00,168.00,1008861919350469
255,0,0.00,10.00,116.00,6954003201312
256,0,0.00,5.00,86.00,6954003201107
257,0,0.00,7.00,54.60,6954003200612
258,0,0.00,3.00,19.50,6954003201299
259,0,0.00,8.00,52.00,6954003201305
260,0,0.00,2.00,35.60,9556023220976
261,0,0.00,6.00,106.80,9556023220952
270,0,0.00,12.00,213.60,9556023220945
271,0,0.00,1.00,17.80,9556023220938
272,0,0.00,9.00,160.20,9556023220969
273,0,0.00,1.00,17.80,9556023220921
274,0,0.00,108.00,1058.40,80050278
275,0,0.00,1.00,139.00,8000500180723
276,0,0.00,3.00,49.50,5290074002221
277,0,0.00,2.00,33.00,5290074002245
278,0,0.00,1.00,16.50,5290074002450
279,0,0.00,3.00,42.00,6920267909844
280,0,0.00,1.00,16.00,6920267904146
281,0,0.00,3.00,87.00,6926507202591
282,0,0.00,1.00,9.90,6926507201327
283,0,0.00,2.00,59.80,6926507204182
284,0,0.00,1.00,42.00,6926507203116
285,0,0.00,5.00,27.00,6926507202836
286,0,0.00,1.00,27.50,6926507202379
287,0,0.00,2.00,116.00,6926507202423
288,0,0.00,1.00,58.80,6926507204991
289,0,0.00,5.00,110.00,6926507299881
290,0,0.00,3.00,105.00,6926507202300
291,0,0.00,2.00,50.00,9556023552138
292,0,0.00,2.00,238.00,6941499122627
293,0,0.00,27.00,1215.00,6944910355765
294,0,0.00,13.00,1547.00,6941499119399
295,0,0.00,8.00,108.80,4100290007089
296,0,0.00,6.00,41.40,5711953044380
297,0,0.00,18.00,124.20,5711953044366
298,0,0.00,16.00,249.60,4100290007096
299,0,0.00,8.00,104.00,6902534238499
308,0,0.00,4.00,52.00,6902534238338
309,0,0.00,2.00,64.00,4897025880696
310,0,0.00,10.00,58.00,6974878230101
311,0,0.00,7.00,122.50,8410376052893
312,0,0.00,6.00,96.00,8410376039375
313,0,0.00,6.00,35.40,6920319827799
314,0,0.00,2.00,43.60,6930305500049
