,importPrice,serialNum,sumAmount,sumTotal,supplier,unit
193,19.00,9588552312259,1.00,24.50,西安丰泰永泽商贸有限公司,袋
194,19.00,9588552312266,1.00,24.50,西安丰泰永泽商贸有限公司,袋
195,12.00,9588552314123,1.00,15.90,西安丰泰永泽商贸有限公司,袋
196,12.00,9588552314338,1.00,15.90,西安丰泰永泽商贸有限公司,袋
197,13.00,6952675319915,8.00,129.60,西安丰泰永泽商贸有限公司,袋
198,64.00,6970480320292,5.00,395.00,西安丰泰永泽商贸有限公司,盒
199,26.00,6952675321123,15.00,477.00,西安丰泰永泽商贸有限公司,袋
200,10.00,9588552322692,5.00,67.50,西安丰泰永泽商贸有限公司,袋
201,10.00,9588552322708,8.00,108.00,西安丰泰永泽商贸有限公司,袋
202,12.00,9588552322821,5.00,80.00,西安丰泰永泽商贸有限公司,袋
203,19.00,6952675329921,13.00,305.50,西安丰泰永泽商贸有限公司,袋
204,12.80,6952675329938,11.00,181.50,西安丰泰永泽商贸有限公司,袋
205,12.00,9588552332912,6.00,99.00,西安丰泰永泽商贸有限公司,盒
206,10.50,9588552333902,1.00,14.50,西安丰泰永泽商贸有限公司,盒
207,11.00,9588552334244,2.00,30.00,西安丰泰永泽商贸有限公司,盒
208,11.00,9588552334251,1.00,15.00,西安丰泰永泽商贸有限公司,盒
209,11.00,9588552334268,1.00,15.00,西安丰泰永泽商贸有限公司,盒
210,15.21,9588552334954,1.00,19.50,西安丰泰永泽商贸有限公司,袋
211,15.21,9588552334978,1.00,19.50,西安丰泰永泽商贸有限公司,袋
212,14.04,9588552335128,3.00,54.00,西安丰泰永泽商贸有限公司,袋
213,14.04,9588552335135,8.00,144.00,西安丰泰永泽商贸有限公司,袋
214,11.31,9588552337450,7.00,101.50,西安丰泰永泽商贸有限公司,袋
215,11.31,9588552337474,1.00,14.50,西安丰泰永泽商贸有限公司,袋
216,31.00,9588552337498,3.00,118.50,西安丰泰永泽商贸有限公司,袋
217,14.04,9588552337528,2.00,36.00,西安丰泰永泽商贸有限公司,袋
218,10.50,6952675337735,3.00,39.60,西安丰泰永泽商贸有限公司,袋
219,14.00,6952675340735,4.00,72.00,西安丰泰永泽商贸有限公司,袋
220,29.00,4897031352422,1.00,36.50,西安丰泰永泽商贸有限公司,盒
221,22.00,4897031353597,1.00,28.00,西安丰泰永泽商贸有限公司,盒
222,22.00,4897031353603,4.00,112.00,西安丰泰永泽商贸有限公司,盒
223,15.00,8996001356500,2.00,39.80,西安丰泰永泽商贸有限公司,盒
224,11.50,6972508380417,2.00,30.00,西安丰泰永泽商贸有限公司,袋
225,12.00,6952675390211,10.00,150.00,西安丰泰永泽商贸有限公司,袋
226,13.60,4710484398970,1.00,17.00,西安丰泰永泽商贸有限公司,袋
227,21.73,4014400400007,1.00,27.50,西安丰泰永泽商贸有限公司,袋
228,56.00,6948042400027,10.00,699.00,西安丰泰永泽商贸有限公司,袋
229,67.00,6948042400034,6.00,504.00,西安丰泰永泽商贸有限公司,袋
230,9.40,6935036401306,2.00,26.00,西安丰泰永泽商贸有限公司,盒
231,17.50,6935036401580,4.00,96.00,西安丰泰永泽商贸有限公司,袋
232,18.80,6935036401597,2.00,51.00,西安丰泰永泽商贸有限公司,袋
233,16.50,6935036401603,3.00,67.50,西安丰泰永泽商贸有限公司,袋
234,10.20,6935036401849,2.00,27.00,西安丰泰永泽商贸有限公司,盒
235,67.00,6948042403929,3.00,252.00,西安丰泰永泽商贸有限公司,袋
236,10.50,6971827490623,1.00,13.50,西安丰泰永泽商贸有限公司,袋
237,39.50,6941174497026,1.00,49.00,西安丰泰永泽商贸有限公司,袋
238,8.80,6941174497149,1.00,10.80,西安丰泰永泽商贸有限公司,袋
239,8.80,6941174497156,1.00,10.80,西安丰泰永泽商贸有限公司,袋
240,12.00,6941174499631,3.00,46.50,西安丰泰永泽商贸有限公司,袋
241,14.50,653314503486,2.00,35.60,西安丰泰永泽商贸有限公司,袋
