,countingAmount,diffAmount,diffPrice,serialNum,stockAmount
196,9,0,9.0,4710199080566,9
197,17,0,17.0,4710199080597,17
198,10,0,10.0,6905014081288,10
199,11,0,11.0,4710199085509,11
200,2,0,2.0,4710199085707,2
201,33,0,33.0,6924115086107,33
202,18,0,18.0,4710199086506,18
203,9,0,9.0,4710199087701,9
204,15,0,15.0,6970866090177,15
205,11,0,11.0,6970866090580,11
206,9,0,9.0,6970866090597,9
207,1,0,1.0,029173092957,1
208,1,0,1.0,029173092964,1
209,7,0,7.0,029173093145,7
210,2,0,2.0,029173093329,2
211,1,0,1.0,029173093336,1
212,1,0,1.0,029173093343,1
213,8,0,8.0,6973382093530,8
214,5,0,5.0,029173094241,5
215,25,0,25.0,6970805096345,25
217,1,0,1.0,6971194100019,1
218,374,0,374.0,6930287100107,374
219,10,0,10.0,6936072100154,10
220,4,0,4.0,6971013100237,4
221,139,0,139.0,6958104100321,139
222,20,0,20.0,6936072100468,20
231,332,0,332.0,6958104100796,332
232,7,0,7.0,6936072100871,7
233,1998,0,1998.0,6958104101021,1998
234,1,0,1.0,6922130101485,1
235,13,0,13.0,6909995101676,13
236,4,0,4.0,6958104101861,4
237,4,0,4.0,6902265107057,4
238,15,0,15.0,6911569107274,15
239,79,0,79.0,6948431109968,79
240,5,0,5.0,6902131110020,5
241,11,0,11.0,6909995110326,11
242,44,0,44.0,6901333110524,44
243,17,0,17.0,6973768111179,17
244,42,0,42.0,6902265111719,42
245,22,0,22.0,6923976112161,22
246,14,0,14.0,6955801112596,14
247,9,0,9.0,6920732113103,9
248,12,0,12.0,6920732113165,12
249,8,0,8.0,6920732113196,8
250,17,0,17.0,6911569113497,17
251,1,0,1.0,6902265114321,1
252,5,0,5.0,6902265114345,5
253,6,0,6.0,6902265114369,6
254,36,0,36.0,6911569114456,36
255,7,0,7.0,6902265114888,7
256,16,0,16.0,6920732115237,16
257,7,0,7.0,6920732115244,7
258,9,0,9.0,6902265115496,9
259,14,0,14.0,6970339116151,14
260,21,0,21.0,6973768117188,21
269,1,0,1.0,6970339117486,1
270,11,0,11.0,6970339117653,11
