,categoryName,grossProfit,grossProfitRate,saleAmount,saleTotal,serialNum,supplierName,totalCost
914,零食类,40.00,21.74%,16.00,184.00,6920609900362,和天熙商贸有限公司,144.00
915,零食类,50.00,37.04%,5.00,135.00,4000417932006,和天熙商贸有限公司,85.00
916,零食类,20.00,37.04%,2.00,54.00,4000417933003,和天熙商贸有限公司,34.00
917,零食类,17.20,31.16%,4.00,55.20,6920130971879,和天熙商贸有限公司,38.00
918,零食类,8.60,31.16%,2.00,27.60,6920130971886,和天熙商贸有限公司,19.00
919,零食类,5.30,22.08%,1.00,24.00,9556023986476,和天熙商贸有限公司,18.70
920,零食类,2.50,18.52%,1.00,13.50,6926972995202,和天熙商贸有限公司,11.00
921,零食类,5.00,18.52%,2.00,27.00,6926972995219,和天熙商贸有限公司,22.00
922,零食类,2.50,18.52%,1.00,13.50,6926972995226,和天熙商贸有限公司,11.00
924,副食类,85.00,23.26%,17.00,365.50,6911569009943,和天熙商贸有限公司,280.50
925,副食类,10.00,18.94%,4.00,52.80,6911569014145,和天熙商贸有限公司,42.80
926,副食类,47.40,29.37%,6.00,161.40,6911569113497,和天熙商贸有限公司,114.00
927,副食类,148.50,34.26%,15.00,433.50,6911569114456,和天熙商贸有限公司,285.00
928,副食类,19.60,28.99%,4.00,67.60,6911569126398,和天熙商贸有限公司,48.00
929,副食类,4.90,28.99%,1.00,16.90,6911569126411,和天熙商贸有限公司,12.00
930,副食类,9.00,22.22%,3.00,40.50,6911569132313,和天熙商贸有限公司,31.50
931,副食类,9.60,24.24%,4.00,39.60,6911569140158,和天熙商贸有限公司,30.00
932,副食类,40.50,20.00%,9.00,202.50,6911569145061,和天熙商贸有限公司,162.00
933,副食类,12.00,23.08%,2.00,52.00,6911569200289,和天熙商贸有限公司,40.00
934,副食类,14.40,24.00%,12.00,60.00,6924640202225,和天熙商贸有限公司,45.60
935,副食类,10.00,23.26%,2.00,43.00,6911569506848,和天熙商贸有限公司,33.00
937,乳制品类,6.00,20.00%,2.00,30.00,4100290007072,和天熙商贸有限公司,24.00
938,乳制品类,3.00,20.00%,1.00,15.00,4100290007089,和天熙商贸有限公司,12.00
939,乳制品类,8.40,19.35%,7.00,43.40,5711953044366,和天熙商贸有限公司,35.00
940,乳制品类,13.20,19.35%,11.00,68.20,5711953044380,和天熙商贸有限公司,55.00
941,乳制品类,52.00,25.00%,2.00,208.00,6955801118659,和天熙商贸有限公司,156.00
942,乳制品类,48.00,20.00%,16.00,240.00,4260290260010,和天熙商贸有限公司,192.00
943,乳制品类,6.00,20.00%,2.00,30.00,4260290260027,和天熙商贸有限公司,24.00
944,乳制品类,11.00,18.64%,1.00,59.00,4260290263042,和天熙商贸有限公司,48.00
945,乳制品类,32.50,19.23%,13.00,169.00,9300639500041,和天熙商贸有限公司,136.50
946,乳制品类,4.00,10.00%,1.00,40.00,6904007602578,和天熙商贸有限公司,36.00
947,乳制品类,4.00,10.00%,1.00,40.00,6904007605920,和天熙商贸有限公司,36.00
948,乳制品类,46.90,14.99%,7.00,312.90,6904007606606,和天熙商贸有限公司,266.00
949,乳制品类,3.00,16.67%,1.00,18.00,6904007607856,和天熙商贸有限公司,15.00
950,乳制品类,20.00,20.00%,8.00,100.00,6904007607917,和天熙商贸有限公司,80.00
951,乳制品类,8.20,20.40%,2.00,40.20,6904007608211,和天熙商贸有限公司,32.00
952,乳制品类,1.40,17.72%,1.00,7.90,6904007608563,和天熙商贸有限公司,6.50
953,乳制品类,7.00,17.72%,5.00,39.50,6904007608570,和天熙商贸有限公司,32.50
954,乳制品类,3.70,19.58%,1.00,18.90,6904007610542,和天熙商贸有限公司,15.20
956,饮料类,48.00,23.53%,24.00,204.00,3179730010560,和天熙商贸有限公司,156.00
957,饮料类,48.00,23.53%,24.00,204.00,3179730010591,和天熙商贸有限公司,156.00
958,饮料类,5.60,21.21%,4.00,26.40,3068320055008,和天熙商贸有限公司,20.80
959,饮料类,33.60,17.78%,42.00,189.00,6901808188881,和天熙商贸有限公司,155.40
960,饮料类,14.00,17.95%,1.00,78.00,4891599331288,和天熙商贸有限公司,64.00
961,饮料类,12.80,20.00%,16.00,64.00,6956367338680,和天熙商贸有限公司,51.20
962,饮料类,9.60,20.00%,16.00,48.00,6970783730019,和天熙商贸有限公司,38.40
963,饮料类,0.60,20.00%,1.00,3.00,6970783730132,和天熙商贸有限公司,2.40
964,饮料类,0.80,18.60%,1.00,4.30,6925303730574,和天熙商贸有限公司,3.50
966,零食类,10.40,19.40%,8.00,53.60,6956405212927,其林贸易有限公司,43.20
967,零食类,1.50,21.74%,1.00,6.90,6956405213610,其林贸易有限公司,5.40
968,零食类,10.40,19.40%,8.00,53.60,6956405213627,其林贸易有限公司,43.20
969,零食类,1.30,19.40%,1.00,6.70,6956405213962,其林贸易有限公司,5.40
970,零食类,2.50,19.69%,1.00,12.70,6941297400217,其林贸易有限公司,10.20
971,零食类,8.40,14.97%,3.00,56.10,6975624411010,其林贸易有限公司,47.70
972,零食类,41.00,21.28%,41.00,192.70,6947798800112,其林贸易有限公司,151.70
973,零食类,38.40,23.19%,24.00,165.60,6974197980008,其林贸易有限公司,127.20
989,乳制品类,13.20,19.76%,4.00,66.80,6975915740010,西安草滩金牛餐饮公司,53.60
990,乳制品类,15.60,19.60%,2.00,79.60,6975915740027,西安草滩金牛餐饮公司,64.00
991,乳制品类,10.00,20.00%,5.00,50.00,6975915740034,西安草滩金牛餐饮公司,40.00
992,乳制品类,22.00,20.00%,11.00,110.00,6975915740041,西安草滩金牛餐饮公司,88.00
993,乳制品类,12.00,20.00%,6.00,60.00,6975915740058,西安草滩金牛餐饮公司,48.00
994,乳制品类,16.50,20.00%,33.00,82.50,6975915740065,西安草滩金牛餐饮公司,66.00
996,食用油类,270.00,20.55%,6.00,"1,314.00",8412253001437,西安阜隆商贸公司,"1,044.00"
997,食用油类,14.00,14.29%,1.00,98.00,6909931264151,西安阜隆商贸公司,84.00
998,食用油类,16.00,18.60%,1.00,86.00,6926650313151,西安阜隆商贸公司,70.00
999,食用油类,14.00,17.95%,1.00,78.00,6926650331483,西安阜隆商贸公司,64.00
1001,面粉,54.00,16.22%,9.00,333.00,6921555521236,西安阜隆商贸公司,279.00
1003,食用油类,23.60,19.73%,4.00,119.60,6972808381992,禾采商贸有限公司,96.00
1004,食用油类,63.00,17.65%,3.00,357.00,6972808388922,禾采商贸有限公司,294.00
1006,面粉,8.30,18.24%,1.00,45.50,6972808381145,禾采商贸有限公司,37.20
1008,零食类,52.50,18.26%,5.00,287.50,6939656100090,禾采商贸有限公司,235.00
1009,零食类,21.00,18.26%,2.00,115.00,6939656100663,禾采商贸有限公司,94.00
1010,零食类,23.80,17.79%,2.00,133.80,6972808380421,禾采商贸有限公司,110.00
1011,零食类,6.00,23.53%,1.00,25.50,6972808382180,禾采商贸有限公司,19.50
1012,零食类,5.00,18.52%,1.00,27.00,6972808382388,禾采商贸有限公司,22.00
1013,零食类,5.30,21.63%,1.00,24.50,6973044387731,禾采商贸有限公司,19.20
