,amount,categoryName,cost,currPrice,productName,serialNum
108,24.0,调料类,8.4,10.9,海天草菇老抽500ml,6902265210504
117,4.0,调料类,11.9,15.0,仲景牛肉酱鲜辣210g,6942806983511
118,16.0,调料类,12.9,17.0,仲景藤椒油258ml,6942806983429
119,11.0,调料类,10.5,14.5,仲景辣椒油258ml,6942806983047
120,30.0,调料类,5.9,7.0,王致和精制料酒500ml,6907592001245
121,7.0,调料类,11.5,19.2,千禾味极鲜酱油1L,6928312900709
122,11.0,调料类,12.0,14.0,风球鲍汁蚝油390g,6920267909844
123,34.0,调料类,3.0,5.0,雪天低钠盐350g,6956064018670
124,2.0,调料类,10.5,12.5,亨氏黑胡椒酱200g,6921956645586
125,57.0,调料类,9.5,12.5,吉得利寿司醋100ml,6925316299532
126,4.0,调料类,7.0,8.5,吉得利青芥辣43g,6925316299556
127,18.0,调料类,12.0,17.5,千禾原香180天本酿酱油500ml,6928312900204
128,1.0,调料类,19.0,26.0,吉得利柠檬黑胡椒粒130g,6972786772775
129,23.0,调料类,23.0,32.0,吉得利海盐黑胡椒粒158g,6972786773505
130,30.0,调料类,7.0,8.8,王致和玫瑰腐乳340g,6907592000033
131,30.0,调料类,7.6,10.5,王致和红油腐乳270g,6907592007414
132,39.0,调料类,11.5,19.2,千禾糯米香醋1L,6928312961090
133,19.0,调料类,9.8,14.2,海天特级草菇老抽500ml,6902265114369
134,9.0,调料类,8.5,10.5,海天蒸鱼豉油450ml,6902265111719
135,18.0,调料类,6.4,8.5,海天鲜味生抽王500ml,6902265170501
136,30.0,调料类,7.0,8.8,王致和大块腐乳340g,6907592000026
137,7.0,调料类,10.5,13.5,仲景香辣香菇酱215g,6942806981999
138,10.0,调料类,10.5,13.5,仲景香菇酱麻辣210g,6942806982064
139,37.0,调料类,8.5,13.4,吉得利白灼汁200ml,6972786775387
140,80.0,调料类,6.0,7.9,王致和白腐乳240g,6907592007056
141,30.0,调料类,6.0,7.9,王致和香辣腐乳240g,6907592007025
142,4.0,调料类,18.5,25.0,吉得利健身混合调料130g,6972786771433
143,20.0,调料类,19.0,28.0,野森林草果200g,6928710609600
144,18.0,调料类,6.0,8.5,野森林辣椒段150g,6928710609761
145,20.0,调料类,11.5,15.7,野森林辣椒面300g,6928710609778
146,8.0,调料类,9.0,11.5,吉得利0脂油醋汁270g,6972786771242
155,60.0,调料类,4.6,6.4,海天白米醋500ml,6902265610014
156,19.0,调料类,7.0,11.5,吉得利0脂蒜蓉辣椒酱280g,6972786771389
157,30.0,调料类,1.3,1.8,海藻盐350G,6926198012233
158,7.0,调料类,13.5,16.5,梅林午餐肉340g,6902131110020
159,11.0,调料类,3.0,5.5,野森林香叶40g,6974919371343
160,7.0,调料类,8.0,9.9,海天特级味级鲜酱油500ml,6902265114888
161,20.0,调料类,8.0,10.5,海天红烧酱油500ml,6902265107057
162,12.0,调料类,9.9,11.5,海天味极鲜750ml,6902265150015
163,17.0,调料类,8.0,12.0,梅林八宝饭350G,6902131130011
164,8.0,调料类,10.5,12.5,亨氏烧烤酱200g,6921956645593
165,14.0,调料类,14.0,18.0,仲景麻辣油258ml,6942806982972
167,213.0,干货类,33.0,46.0,野森林罐装巴旦木350g,6928710660083
168,21.0,干货类,62.0,81.0,野森林罐装松子450g,6928710660090
169,159.0,干货类,58.0,75.0,野森林罐装杏仁450g,6928710660106
170,40.0,干货类,52.0,64.8,长白山秋木耳150g,6928710601925
171,20.0,干货类,65.0,79.9,野森林开心果500g,6928710601772
172,40.0,干货类,65.0,79.9,野森林开口松子500g,6928710601765
173,40.0,干货类,37.0,49.5,野森林木耳300g,6928710600362
174,11.0,干货类,18.0,23.8,野森林枸杞子160g,6928710600089
175,16.0,干货类,50.0,62.5,米脂小米2.5kg,6928710602212
176,193.0,干货类,45.0,57.9,森林味道木耳280g,6928710602304
177,15.0,干货类,16.0,18.8,野森林桂圆450g,6928710600300
178,24.0,干货类,48.0,60.0,野森林腰果400g,6928710600195
179,42.0,干货类,7.5,8.9,野森林粉丝400g,6928710600164
180,44.0,干货类,26.0,34.8,野森林莲子180g,6928710600096
181,42.0,干货类,22.0,28.5,野森林腐竹500g,6928710600485
182,40.0,干货类,18.0,23.0,野森林银耳145g,6928710600072
183,40.0,干货类,21.0,28.0,野森林葡萄干450g,6928710660113
184,40.0,干货类,20.0,24.8,野森林黄花菜200g,6928710600065
193,18.0,干货类,45.0,54.8,野森林香菇300g,6928710600058
194,37.0,干货类,20.0,26.0,野森林百合188g,6928710600034
195,26.0,干货类,15.0,19.5,野森林有机紫菜45g,6928710602052
196,20.0,干货类,11.5,15.7,野森林黑芝麻罐装238g,6928710660052
197,10.0,干货类,31.5,41.3,野森林三色藜麦米1kg,6974919370476
198,50.0,干货类,37.0,49.0,野森林竹荪50g,6928710609082
199,24.0,干货类,15.0,18.5,野森林干坛紫菜60g,6928710600980
200,40.0,干货类,48.0,66.5,野森林黑枸杞188g,6928710609204
201,3.0,干货类,13.0,17.6,阿一波紫菜海苔7枚装,6926213557985
202,95.0,干货类,14.0,19.9,野森林玫瑰花100g,6928710609228
203,84.0,干货类,9.5,12.9,野森林干柠檬片50g,6928710609235
204,8.0,干货类,29.0,39.0,野森林茶树菇150g,6928710609075
205,25.0,干货类,6.0,7.8,手工空心苦荞挂面200g,6974919371367
206,5.0,干货类,5.5,7.6,手工空心挂面200g,6974919371374
207,5.0,干货类,15.0,19.5,野森林新疆灰枣400g,6928710601178
208,12.0,干货类,8.5,13.0,野森林厥根粉丝400g,6928710601222
209,19.0,干货类,22.5,29.0,野森林红薯粉条1kg,6974919371923
210,40.0,干货类,6.0,7.5,野森林虾片208g,6928710601215
211,20.0,干货类,6.5,8.5,野森林麻酱魔芋凉皮,6974919372210
212,37.0,干货类,10.0,13.8,野森林鹿茸菇50g,6974919370070
213,10.0,干货类,48.0,64.9,野森林罐装开心果350g,6928710660069
214,244.0,干货类,54.0,73.0,野森林碧根果500g,6928710601741
