,amount,avgCost,importPrice,serialNum
0,24,24.0,576.0,6972808381992
1,12,19.5,234.0,6972808382180
2,12,22.0,264.0,6972808382388
3,12,22.0,264.0,6972808382401
4,24,19.2,460.8,6973044387731
5,12,19.2,230.4,6973044387748
6,12,19.2,230.4,6973044387755
7,20,98.0,1960.0,6972808388922
