,cost,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
557,5.50,0,0.00,3.00,8.00,24.00,6928710601406
558,31.00,0,0.00,8.00,37.90,303.20,6970010922910
559,14.00,0,0.00,4.00,18.00,72.00,6952675340735
560,12.80,0,0.00,4.00,16.50,66.00,6952675340810
561,12.80,0,0.00,6.00,16.50,99.00,6952675329938
562,19.00,0,0.00,17.00,23.50,399.50,6952675329921
563,26.00,0,0.00,21.00,31.80,667.80,6952675321123
564,13.00,0,0.00,2.00,16.20,32.40,6952675311315
565,8.00,0,0.00,13.00,9.90,128.70,6974613130055
574,44.00,0,0.00,3.00,58.00,174.00,4901330743826
575,44.00,0,0.00,3.00,58.00,174.00,4901330742386
576,11.50,0,0.00,11.00,14.90,163.90,6924810821027
577,10.70,0,0.00,35.00,13.80,483.00,6924810810007
578,7.00,0,0.00,19.00,8.80,167.20,6924810824608
579,28.70,0,0.00,16.00,36.80,588.80,6924810822222
580,19.00,0,0.00,3.00,24.00,72.00,6924810812223
581,19.00,0,0.00,13.00,24.00,312.00,6924810812216
582,31.00,0,0.00,15.00,41.00,615.00,6924810810014
583,27.00,0,0.00,3.00,35.80,107.40,6924810822406
584,10.50,0,0.00,3.00,13.50,40.50,6924810802248
585,22.88,0,0.00,11.00,26.00,286.00,6371251273
586,12.50,0,0.00,7.00,13.80,96.60,6921774200639
587,12.50,0,0.00,4.00,13.80,55.20,6921774286305
588,12.50,0,0.00,8.00,13.80,110.40,6921774271622
589,12.50,0,0.00,9.00,13.80,124.20,6921774271547
590,14.00,0,0.00,3.00,16.30,48.90,6919892634603
591,2.50,0,0.00,1.00,3.00,3.00,6944839905010
592,2.50,0,0.00,5.00,3.00,15.00,6944839905164
593,2.50,0,0.00,1.00,3.00,3.00,6944839993796
594,14.00,0,0.00,1.00,16.30,16.30,6919892634108
595,14.00,0,0.00,1.00,16.30,16.30,6919892634306
596,25.00,0,0.00,2.00,33.00,66.00,6953042701531
597,10.00,0,0.00,7.00,12.80,89.60,6927682700018
598,2.10,0,0.00,25.00,2.50,62.50,6954767410388
599,5.80,0,0.00,8.00,7.00,56.00,6954767401812
600,5.80,0,0.00,1.00,7.00,7.00,6954767401874
601,4.70,0,0.00,23.00,5.50,126.50,6972863230136
602,4.80,0,0.00,16.00,5.90,94.40,6972863230105
603,4.70,0,0.00,28.00,5.70,159.60,6972863230259
612,13.00,0,0.00,2.00,18.00,36.00,8008620080244
613,12.80,0,0.00,4.00,19.80,79.20,8008620009337
614,12.80,0,0.00,2.00,19.80,39.60,8008620009320
615,14.50,0,0.00,4.00,17.80,71.20,653314503493
616,26.00,0,0.00,3.00,36.50,109.50,5410081201848
617,14.00,0,0.00,7.00,17.90,125.30,6970631040109
618,14.00,0,0.00,16.00,17.90,286.40,6970631040123
619,14.00,0,0.00,13.00,17.90,232.70,6970631040130
620,38.50,0,0.00,31.00,47.00,1457.00,6916323936039
621,45.00,0,0.00,7.00,56.00,392.00,6916323937043
622,4.00,0,0.00,48.00,5.50,264.00,6927797623530
623,5.50,0,0.00,16.00,6.50,104.00,6927797622304
624,4.00,0,0.00,48.00,5.50,264.00,6927797622724
