,importAmount,importPrice,supplierName
3,475,4710.6,陕西小大贸易有限公司
4,549,10380.2,陕西野森林现代农业有限公司
5,135,2970.0,西安傲涵贸易有限公司
6,495,5374.5,西安超乐惠商贸有限公司
7,485,11930.6,西安丰泰永泽商贸有限公司
8,2844,13174.2,西安海和景商贸有限公司
9,276,3916.8,西安和天熙商贸有限公司
10,189,7738.0,西安品优兴农产品有限公司
11,175,2800.0,西安秦南农副产品贸易有限公司
12,188,10090.0,西安腾旺贸易有限公司
