,categoryName,grossProfit,grossProfitRate,saleAmount,saleIncome,serialNum,supplierName,totalCost
733,饮料类,3.80,19.19%,2,19.80,6971836970123,西安海和景商贸有限公司,16.00
734,饮料类,7.50,20.00%,3,37.50,6901818460878,西安海和景商贸有限公司,30.00
743,饮料类,7.50,15.79%,5,47.50,4891028707899,西安海和景商贸有限公司,40.00
744,饮料类,12.00,16.67%,15,72.00,6954767422688,西安海和景商贸有限公司,60.00
745,饮料类,1.40,17.72%,1,7.90,6974348720002,西安海和景商贸有限公司,6.50
746,饮料类,23.80,17.72%,17,134.30,6974348720392,西安海和景商贸有限公司,110.50
747,饮料类,5.60,17.72%,4,31.60,6974348720019,西安海和景商贸有限公司,26.00
748,饮料类,4.00,16.00%,10,25.00,6954767430386,西安海和景商贸有限公司,21.00
749,饮料类,26.00,17.45%,10,149.00,6901347880390,西安海和景商贸有限公司,123.00
750,饮料类,0.70,16.67%,1,4.20,6926892568081,西安海和景商贸有限公司,3.50
751,饮料类,1.40,16.67%,2,8.40,6926892501033,西安海和景商贸有限公司,7.00
752,饮料类,138.60,25.93%,18,534.60,6975131550721,西安海和景商贸有限公司,396.00
753,饮料类,18.70,19.30%,17,96.90,6975176782460,西安海和景商贸有限公司,78.20
754,饮料类,12.00,16.00%,15,75.00,6970399920415,西安海和景商贸有限公司,63.00
755,饮料类,1.10,17.46%,1,6.30,6970399921092,西安海和景商贸有限公司,5.20
758,副食类,9.60,24.24%,4,39.60,6911569140158,西安和天熙商贸有限公司,30.00
759,副食类,4.90,28.99%,1,16.90,6911569126411,西安和天熙商贸有限公司,12.00
760,副食类,14.40,24.00%,12,60.00,6924640202225,西安和天熙商贸有限公司,45.60
761,副食类,10.00,18.94%,4,52.80,6911569014145,西安和天熙商贸有限公司,42.80
762,副食类,10.00,23.26%,2,43.00,6911569506848,西安和天熙商贸有限公司,33.00
763,副食类,47.40,29.37%,6,161.40,6911569113497,西安和天熙商贸有限公司,114.00
764,副食类,9.00,22.22%,3,40.50,6911569132313,西安和天熙商贸有限公司,31.50
765,副食类,12.00,23.08%,2,52.00,6911569200289,西安和天熙商贸有限公司,40.00
766,副食类,19.60,28.99%,4,67.60,6911569126398,西安和天熙商贸有限公司,48.00
767,副食类,85.00,23.26%,17,365.50,6911569009943,西安和天熙商贸有限公司,280.50
768,副食类,148.50,34.26%,15,433.50,6911569114456,西安和天熙商贸有限公司,285.00
769,副食类,40.50,20.00%,9,202.50,6911569145061,西安和天熙商贸有限公司,162.00
771,零食类,19.80,22.22%,9,89.10,6923450662106,西安和天熙商贸有限公司,69.30
780,零食类,4.30,24.16%,1,17.80,4894375022547,西安和天熙商贸有限公司,13.50
781,零食类,18.00,21.43%,6,84.00,4894375011008,西安和天熙商贸有限公司,66.00
782,零食类,3.00,23.08%,1,13.00,4713507008337,西安和天熙商贸有限公司,10.00
783,零食类,8.60,24.16%,2,35.60,4894375022530,西安和天熙商贸有限公司,27.00
784,零食类,3.00,23.08%,1,13.00,4713507008344,西安和天熙商贸有限公司,10.00
785,零食类,2.50,20.83%,1,12.00,029173092964,西安和天熙商贸有限公司,9.50
786,零食类,2.50,20.83%,1,12.00,029173092971,西安和天熙商贸有限公司,9.50
787,零食类,27.00,23.08%,9,117.00,8935024140147,西安和天熙商贸有限公司,90.00
788,零食类,7.80,23.08%,2,33.80,6914973601567,西安和天熙商贸有限公司,26.00
789,零食类,7.00,20.59%,1,34.00,8809420330740,西安和天熙商贸有限公司,27.00
790,零食类,5.00,22.73%,2,22.00,3185610001139,西安和天熙商贸有限公司,17.00
791,零食类,10.20,26.36%,3,38.70,6948939602404,西安和天熙商贸有限公司,28.50
792,零食类,3.30,27.97%,1,11.80,6948939602572,西安和天熙商贸有限公司,8.50
793,零食类,13.60,26.36%,4,51.60,6948939602381,西安和天熙商贸有限公司,38.00
794,零食类,6.20,24.03%,2,25.80,6948939608208,西安和天熙商贸有限公司,19.60
795,零食类,1.50,18.99%,1,7.90,6901845040692,西安和天熙商贸有限公司,6.40
796,零食类,1.50,18.99%,1,7.90,6901845040685,西安和天熙商贸有限公司,6.40
797,零食类,3.00,18.99%,2,15.80,6901845040951,西安和天熙商贸有限公司,12.80
798,零食类,17.50,19.69%,7,88.90,6923668390075,西安和天熙商贸有限公司,71.40
799,零食类,15.00,19.69%,6,76.20,6923668390181,西安和天熙商贸有限公司,61.20
800,零食类,37.50,30.61%,5,122.50,6918598028105,西安和天熙商贸有限公司,85.00
801,零食类,3.50,23.33%,1,15.00,6937451883118,西安和天熙商贸有限公司,11.50
802,零食类,4.00,22.22%,1,18.00,6937451883231,西安和天熙商贸有限公司,14.00
803,零食类,15.60,23.08%,4,67.60,6914973200685,西安和天熙商贸有限公司,52.00
804,零食类,22.00,15.07%,4,146.00,6914973604223,西安和天熙商贸有限公司,124.00
805,零食类,19.50,17.57%,3,111.00,6914973206106,西安和天熙商贸有限公司,91.50
806,零食类,11.00,15.07%,2,73.00,6914973604230,西安和天熙商贸有限公司,62.00
807,零食类,16.00,8.70%,4,184.00,6914973300828,西安和天熙商贸有限公司,168.00
808,零食类,20.40,20.12%,6,101.40,6931802400078,西安和天熙商贸有限公司,81.00
817,零食类,51.00,20.12%,15,253.50,6931802400047,西安和天熙商贸有限公司,202.50
818,零食类,3.60,24.00%,1,15.00,4897044644613,西安和天熙商贸有限公司,11.40
819,零食类,4.50,25.00%,3,18.00,6954003201299,西安和天熙商贸有限公司,13.50
820,零食类,22.50,15.31%,15,147.00,80050278,西安和天熙商贸有限公司,124.50
821,零食类,5.30,22.08%,1,24.00,9556023986476,西安和天熙商贸有限公司,18.70
822,零食类,15.90,22.08%,3,72.00,9556023875985,西安和天熙商贸有限公司,56.10
823,零食类,5.00,20.83%,2,24.00,6940188801560,西安和天熙商贸有限公司,19.00
824,零食类,3.00,23.08%,1,13.00,6940188801607,西安和天熙商贸有限公司,10.00
825,零食类,33.00,23.08%,11,143.00,6940188801638,西安和天熙商贸有限公司,110.00
826,零食类,3.00,23.08%,1,13.00,6940188801591,西安和天熙商贸有限公司,10.00
827,零食类,11.40,18.63%,6,61.20,4713507019135,西安和天熙商贸有限公司,49.80
828,零食类,5.70,18.63%,3,30.60,4713507011528,西安和天熙商贸有限公司,24.90
829,零食类,19.00,23.81%,2,79.80,6971284200063,西安和天熙商贸有限公司,60.80
830,零食类,28.50,23.81%,3,119.70,6971284200049,西安和天熙商贸有限公司,91.20
831,零食类,1.60,17.78%,2,9.00,6920907808278,西安和天熙商贸有限公司,7.40
832,零食类,1.60,17.78%,2,9.00,6920907808179,西安和天熙商贸有限公司,7.40
833,零食类,6.00,17.65%,4,34.00,6920907809909,西安和天熙商贸有限公司,28.00
