,categoryName,cost,currPrice,productId,productName,serialNum,supplierName,unit
56,面粉,31.0,37.0,000599,小康之家5kg,6932816000599,陕西老牛面粉有限公司,袋
57,面粉,30.0,39.0,000735,老牛麦芯粉5kg,6932816000735,陕西老牛面粉有限公司,袋
58,面粉,52.0,64.0,000742,老牛麦芯粉10kg,6932816000742,陕西老牛面粉有限公司,袋
59,面粉,102.0,120.0,006195,老牛高筋粉25kg,6932816006195,陕西老牛面粉有限公司,袋
62,干货,15.0,19.5,601178.,野森林新疆灰枣400g,6928710601178,陕西野森林食品有限公司,袋
65,零食,13.0,15.5,400633,牛浪汉五香牛肉干70g,6923228400633,西安智跑商贸有限公司,袋
67,副食,7.5,10.0,376678,甘汁园冰糖300g,6928002376678,西安智跑商贸有限公司,袋
70,零食,6.3,9.9,000108,谷优玛丽亚饼干200g,8410376000108,西安菲达食品商贸有限公司,袋
71,零食,26.52,32.8,000717,获爱怡混装华夫饼干400g,4002652000717,西安菲达食品商贸有限公司,包
72,零食,26.52,32.8,000748,诺帕丽汉斯星期五曲奇饼干400g,4002652000748,西安菲达食品商贸有限公司,包
73,零食,40.0,55.0,001074,金宝白咖啡原味600g,9556555001074,西安菲达食品商贸有限公司,袋
74,零食,99.5,141.0,001352,克特多金象黑巧克力礼盒,7622400001352,西安菲达食品商贸有限公司,盒
75,零食,4.68,6.0,001566,Hamu焦糖饼干100g原味,4894375001566,西安菲达食品商贸有限公司,袋
76,零食,5.8,7.9,001597,公鸡螺丝意大利面250g,8410069001597,西安菲达食品商贸有限公司,袋
77,零食,7.8,9.9,001603,hamu焦糖饼干原味200g,4894375001603,西安菲达食品商贸有限公司,
78,零食,7.8,9.9,001610,hamu焦糖饼干黑糖200g,4894375001610,西安菲达食品商贸有限公司,
79,零食,8.8,11.5,001859,茱蒂丝花生三明治135g,9556121001859,西安菲达食品商贸有限公司,袋
80,零食,79.8,113.0,002052,瑞士三角巧克力礼盒248g,7622400002052,西安菲达食品商贸有限公司,盒
81,零食,21.0,28.9,002156,伯爵椰味饼干200g,4006529002156,西安菲达食品商贸有限公司,盒
82,零食,21.0,28.9,002170,伯爵曲奇饼干400g,4006529002170,西安菲达食品商贸有限公司,盒
83,零食,34.0,48.0,002177,圣贵兰经典黑咖啡100g,8002650002177,西安菲达食品商贸有限公司,袋
84,零食,40.0,55.0,002187,金宝白咖啡榛果600g,9556555002187,西安菲达食品商贸有限公司,袋
85,零食,11.0,16.5,002221,芬特乐橙汁1L,5290074002221,西安菲达食品商贸有限公司,瓶
86,零食,55.0,78.0,002290,克特多片装黑巧克力240g,7622200002290,西安菲达食品商贸有限公司,盒
87,零食,6.2,7.8,002632,可康芒果果冻240g,9556437002632,西安菲达食品商贸有限公司,盒
88,零食,18.8,26.6,002651,伯爵香脆薄饼干250g,4006529002651,西安菲达食品商贸有限公司,盒
89,零食,6.2,7.8,002656,可康荔枝果冻240g,9556437002656,西安菲达食品商贸有限公司,盒
90,零食,11.5,14.8,002984,可康多口味果冻480g,9556437002984,西安菲达食品商贸有限公司,盒
91,零食,23.0,29.9,003061,伯爵格拉芙饼干600g,4006529003061,西安菲达食品商贸有限公司,盒
92,零食,9.5,12.0,003884.,茱蒂丝巧克力蛋卷100g,9556121003884,西安菲达食品商贸有限公司,袋
93,零食,6.5,8.8,003974,欧琪优果吧冰棒45g,9556437003974,西安菲达食品商贸有限公司,袋
94,零食,9.5,12.0,003976,茱蒂丝草莓蛋卷100g,9556121003976,西安菲达食品商贸有限公司,袋
95,零食,40.0,54.0,006008,泽合原味白咖啡600g,9556854006008,西安菲达食品商贸有限公司,袋
96,零食,40.0,54.0,006039,泽合香浓白咖啡600g,9556854006039,西安菲达食品商贸有限公司,袋
97,零食,22.0,30.8,006753,克特多70%可可黑巧克力100g,7622400006753,西安菲达食品商贸有限公司,盒
98,零食,10.0,13.5,008337,aji-酵母咸盐苏打饼简易装472.5g,4713507008337,西安菲达食品商贸有限公司,盒
99,零食,10.0,13.5,008344,aji-五谷纤麦苏打饼简易装472.5g,4713507008344,西安菲达食品商贸有限公司,盒
100,零食,10.0,13.5,008351,aji-纳豆酵素苏打饼简易装472.5g,4713507008351,西安菲达食品商贸有限公司,盒
101,零食,13.0,17.0,009220,茱蒂丝奶油脆饼100g,9556121009220,西安菲达食品商贸有限公司,袋
102,零食,12.8,19.8,009320,可意奇原味苏打饼干250g,8008620009320,西安菲达食品商贸有限公司,盒
103,零食,12.8,19.8,009337,可意奇全麦苏打饼干250g,8008620009337,西安菲达食品商贸有限公司,袋
104,零食,11.5,15.9,009392,谷优全麦高纤维饼干170g,8410376009392,西安菲达食品商贸有限公司,袋
105,零食,39.5,52.0,009688,茱蒂丝什锦饼干650g,9556121009688,西安菲达食品商贸有限公司,袋
106,零食,13.5,17.5,010013,瑞士三角牛奶巧克力100g,7614500010013,西安菲达食品商贸有限公司,盒
107,零食,13.5,17.5,010310,瑞士三角白巧克力100g,7614500010310,西安菲达食品商贸有限公司,盒
108,零食,12.0,19.0,010350,漫吉米巧克力味无糖曲奇120g,5901228010350,西安菲达食品商贸有限公司,袋
109,零食,12.0,19.0,010527,漫吉米香草味无糖曲奇120g,5901228010527,西安菲达食品商贸有限公司,袋
110,零食,13.5,17.5,010617,瑞士三角黑巧克力100g,7614500010617,西安菲达食品商贸有限公司,盒
111,零食,10.5,13.5,010756,漫吉米可可饼干200g,5901228010756,西安菲达食品商贸有限公司,袋
112,零食,11.0,14.6,010995,酵母手撕面包原味338g,4894375010995,西安菲达食品商贸有限公司,袋
113,零食,11.0,14.6,011008,酵母手撕面包蛋奶味338g,4894375011008,西安菲达食品商贸有限公司,袋
114,零食,9.0,12.0,011344,可康荔枝果冻420g,9556437011344,西安菲达食品商贸有限公司,袋
115,零食,9.0,12.0,011368,可康草莓果冻420g,9556437011368,西安菲达食品商贸有限公司,盒
116,零食,8.3,10.5,011528,果子町-苏打饼干芝麻味360g,4713507011528,西安菲达食品商贸有限公司,包
117,零食,8.3,10.5,011535,果子町-苏打饼干奶盐味360g,4713507011535,西安菲达食品商贸有限公司,包
118,零食,21.0,33.6,012753,巧美榛仁巧克力酱250g,5410291012753,西安菲达食品商贸有限公司,袋
119,零食,21.0,33.6,012760,巧美黑巧克力酱250g,5410291012760,西安菲达食品商贸有限公司,袋
120,零食,16.5,22.5,013191,谷优咸趣饼干350g,8410376013191,西安菲达食品商贸有限公司,袋
121,零食,23.0,32.2,013935,克特多真味纯可可黑巧克力100g,7622400013935,西安菲达食品商贸有限公司,盒
122,零食,6.3,9.9,017595,谷优金黄脆饼干200g,8410376017595,西安菲达食品商贸有限公司,袋
123,零食,8.3,10.5,019128,果子町-苏打饼干香葱味360g,4713507019128,西安菲达食品商贸有限公司,包
124,零食,8.3,10.5,019135,果子町-苏打饼干黑芝麻味360g,4713507019135,西安菲达食品商贸有限公司,包
125,零食,25.0,33.0,020072,茱蒂丝小熊饼干牛奶240g,9556121020072,西安菲达食品商贸有限公司,袋
126,零食,25.0,33.0,020096,茱蒂丝小熊饼干巧克力240g,9556121020096,西安菲达食品商贸有限公司,袋
127,零食,9.5,12.0,020188,茱蒂丝可可乐香草蛋卷100g,9556121020188,西安菲达食品商贸有限公司,袋
128,零食,14.5,22.0,021007,瑞特滋牛奶巧克力100g,4000417021007,西安菲达食品商贸有限公司,盒
129,零食,14.5,22.0,022004,瑞特滋葡萄干榛子巧克力100g,4000417022004,西安菲达食品商贸有限公司,盒
