,categoryName,cost,currPrice,productId,productName,serialNum,supplierName,unit
66,乳制品类,55.0,68.0,311148,A2酪蛋白纯奶梦幻盖250ml*10,6970037311148,西安腾旺贸易有限公司,提
67,乳制品类,63.0,78.0,311247,认养一头牛PET常温酸奶230g*10,6970037311247,西安腾旺贸易有限公司,提
68,乳制品类,63.0,78.0,311421,认养一头牛PET白桃燕麦酸奶230g*10,6970037311421,西安腾旺贸易有限公司,提
69,乳制品类,48.0,59.9,312114,认养一头牛棒棒纯牛奶200ml*10,6970037312114,西安腾旺贸易有限公司,提
70,乳制品类,40.0,49.9,312640,认养一头牛3.6g纯牛奶250ml*12,6970037312640,西安腾旺贸易有限公司,提
71,乳制品类,39.0,49.0,313272,认养一头牛纯牛奶200ml*12,6970037313272,西安腾旺贸易有限公司,提
72,乳制品类,56.0,67.5,314354,认养一头牛有机纯牛奶250ml*10,6970037314354,西安腾旺贸易有限公司,提
77,乳制品类,11.5,13.9,400227,百吉福芝士片100g,6922477400227,西安腾旺贸易有限公司,盒
79,乳制品类,12.5,15.8,400333,百吉福成长草莓100g,6922477400333,西安腾旺贸易有限公司,盒
80,乳制品类,12.5,15.8,400524,百吉福成长蓝莓100g,6922477400524,西安腾旺贸易有限公司,盒
81,乳制品类,19.0,23.9,400685,百吉福芝士片低脂166g,6922477400685,西安腾旺贸易有限公司,盒
82,乳制品类,12.5,15.8,400777,百吉福成长原味100g,6922477400777,西安腾旺贸易有限公司,盒
83,乳制品类,8.4,10.8,410523,百吉福一杯芝士原味70g,6922477410523,西安腾旺贸易有限公司,盒
84,乳制品类,8.4,10.8,410530,百吉福一杯芝士草莓70g,6922477410530,西安腾旺贸易有限公司,盒
85,乳制品类,8.4,10.8,410547,百吉福一杯芝士白桃70g,6922477410547,西安腾旺贸易有限公司,盒
86,乳制品类,16.5,21.8,411063,百吉福特浓奶酪原味100g,6922477411063,西安腾旺贸易有限公司,袋
87,乳制品类,15.5,19.8,411087,百吉福果心奶酪草莓100g,6922477411087,西安腾旺贸易有限公司,袋
88,乳制品类,15.5,19.8,411384,百吉福果心奶酪橙子100g,6922477411384,西安腾旺贸易有限公司,袋
89,乳制品类,15.5,19.8,411407,百吉福果心奶酪葡萄100g,6922477411407,西安腾旺贸易有限公司,袋
90,乳制品类,14.0,17.5,411544,百吉福棒棒原味100g,6922477411544,西安腾旺贸易有限公司,袋
91,乳制品类,14.0,17.5,411551,百吉福棒棒水果味100g,6922477411551,西安腾旺贸易有限公司,袋
92,乳制品类,14.0,17.5,411568,百吉福棒棒酸奶果粒100g,6922477411568,西安腾旺贸易有限公司,袋
93,乳制品类,14.0,17.5,411575,百吉福棒棒缤纷莓子味100g,6922477411575,西安腾旺贸易有限公司,袋
94,乳制品类,14.0,17.5,411599,百吉福棒棒香草冰淇淋100g,6922477411599,西安腾旺贸易有限公司,袋
95,乳制品类,6.0,7.9,425000,新希望鲜奶牛乳255ml,6941704425000,西安腾旺贸易有限公司,盒
96,乳制品类,14.5,18.8,425017,新希望鲜奶牛乳700ml,6941704425017,西安腾旺贸易有限公司,盒
97,乳制品类,55.0,65.0,512761,伊利安慕希原味,6907992512761,西安腾旺贸易有限公司,提
98,乳制品类,53.0,65.0,513157,伊利金典高钙低脂奶250ml*12,6907992513157,西安腾旺贸易有限公司,提
