,amount,categoryName,cost,currPrice,producItName,serialNum
3,63,副食,819.00,875.70,米脂县黑小米490g,6971654248015
4,437,副食,7429.00,7866.00,米脂县手工土豆粉条350g,6971654248091
7,41,食用油,6150.00,6555.90,鲁花5S压榨一级花生油5L,6916168616554
9,110,调料,660.00,825.00,鲁花9度白醋500ml,6934126261899
10,341,调料,3751.00,4262.50,鲁花炒菜香酱油500ml,6958104100796
12,1001,食用油,98098.00,109008.90,鲁花低芥酸菜籽油5L,6938749816122
13,9,食用油,585.00,675.00,鲁花高油酸花生油750ml,6971114920017
15,6,调料,72.00,100.80,鲁花黑豆味极鲜500ml,6958104101861
16,237,调料,2607.00,4005.30,鲁花黑糯米醋500ml,6934126262346
17,789,调料,5680.80,6706.50,鲁花料酒500ml,6931299062605
19,1,副食,39.00,49.90,鲁花麦芯小麦粉5kg,6973141120088
21,649,调料,4543.00,6360.20,鲁花糯米香醋500ml,6934126262933
23,69,大米,4278.00,5513.10,鲁花生态粳米5kg,6971938360006
25,2012,调料,22132.00,29978.80,鲁花生鲜蚝油518ml,6958104101021
27,4,大米,248.00,295.60,鲁花松嫩源香大米,6971938360150
29,1,食用油,72.00,96.00,鲁花特级初榨橄榄油750ml,6916168617322
31,7,大米,784.00,979.30,鲁花五常大米5kg,6971938360075
41,2058,调料,51450.00,67708.20,鲁花小磨香油260ml,6971114920178
43,24,大米,1560.00,1917.60,鲁花长粒香米5kg,6971938360044
45,3041,调料,30410.00,42269.90,鲁花芝麻香油180ML,6934230050129
46,141,调料,1621.50,1945.80,自然鲜红烧酱油500ml,6958104100321
47,2841,调料,32671.50,42330.90,自然鲜酱香酱油500ml,6931299062681
50,666,面粉,34632.00,42624.00,老牛麦芯粉10kg,6932816000742
51,650,面粉,20150.00,24050.00,小康之家5kg,6932816000599
54,15,乳制品酸奶,117.00,142.50,草莓流心芝士单杯,6973230890342
55,4,乳制品酸奶,30.00,38.00,格格啵啵珠草莓+树莓150g,6932365575111
56,11,乳制品酸奶,82.50,104.50,格格啵啵珠芒果+椰果150g,6932365575104
57,11,乳制品酸奶,121.00,159.50,华山发酵乳黄桃90g,6970339117554
58,35,乳制品酸奶,105.00,140.00,华山老酸奶120g,6970339116373
59,29,乳制品酸奶,1624.00,1885.00,华山牧1W纯奶提装,6970339116151
60,8,乳制品酸奶,46.40,60.00,华山牧海盐西柚250ml,6970339117646
61,51,乳制品酸奶,178.50,229.50,华山牧青稞酸奶180g,6970339117097
62,2,乳制品酸奶,11.60,15.00,华山牧清香白桃酸奶250g,6970339117653
63,84,乳制品酸奶,310.80,369.60,华山牧优酪乳黄桃180g,6970339117844
64,67,乳制品酸奶,254.60,301.50,华山牧优酪乳混合180g,6970339116137
65,28,乳制品酸奶,78.40,126.00,华山牧优酪乳燕麦180g,6970339116144
66,32,乳制品酸奶,121.60,144.00,华山牧优酪乳原味180g,6970339116120
68,4,乳制品纯奶,168.00,220.00,华山牧有机纯牛奶225ml*10,6970339117486
70,6,乳制品酸奶,34.80,45.00,华山牧原味酸奶250ml,6970339117639
79,92,乳制品酸奶,276.00,368.00,华山无糖酸奶160g,6970339117233
80,5,乳制品酸奶,29.00,34.50,华山鲜牛奶250ml,6970339116588
82,7,乳制品纯奶,115.50,136.50,华山鲜牛奶950ml,6970339116557
84,1,乳制品酸奶,7.50,9.50,简爱0添加糖135g,6970618570070
